variant,outcome,outcome_label,pathway,pathway_label,beta_log_rate,percent_difference_per_1sd,ci_low_percent,ci_high_percent,p_value,n,n_countries,r2
primary_sdi_spline_year_fe_cluster,u5,Under-5,household_energy,Household-energy context,0.16133205960306515,17.507509900799654,2.4162613960562407,34.82248516853432,0.021425760308619868,6902,203,0.7667749404577258
primary_sdi_spline_year_fe_cluster,u5,Under-5,ambient_pm25,Ambient PM2.5 context,0.06695513575144914,6.924750611261632,-0.8275007819484204,15.2829905813189,0.08123269393984303,6902,203,0.7667749404577258
primary_sdi_spline_year_fe_cluster,u5,Under-5,thermal_context,Thermal climate context,0.11938422971241511,12.680278623316731,4.1749502507429925,21.880021637329605,0.002869287105986148,6902,203,0.7667749404577258
primary_sdi_spline_year_fe_cluster,u5,Under-5,wetness_context,Wetness/precipitation context,-0.00558791615296147,-0.5572332789183232,-7.1451361758807845,6.498070708223036,0.8730537097459106,6902,203,0.7667749404577258
primary_sdi_spline_year_fe_cluster,all_age,All ages,household_energy,Household-energy context,-0.006713805959034768,-0.6691318716943728,-9.75344502489024,9.329617799195589,0.8908740725413968,6902,203,0.7435583675030917
primary_sdi_spline_year_fe_cluster,all_age,All ages,ambient_pm25,Ambient PM2.5 context,-0.062207721312940494,-6.031232664046859,-10.98818052674303,-0.7982390777727,0.024460700166167967,6902,203,0.7435583675030917
primary_sdi_spline_year_fe_cluster,all_age,All ages,thermal_context,Thermal climate context,0.1540924610899344,16.659874678357944,10.476146491781746,23.18972730446014,2.9339212295777778e-08,6902,203,0.7435583675030917
primary_sdi_spline_year_fe_cluster,all_age,All ages,wetness_context,Wetness/precipitation context,-0.06811894844086125,-6.585064864043844,-11.59223542862977,-1.2943020473021094,0.015374374977013357,6902,203,0.7435583675030917
primary_sdi_spline_year_fe_cluster,age5_69,5-69 years,household_energy,Household-energy context,0.003098645729922937,0.3103451495108711,-14.330287251005746,17.453006682716186,0.96929353367966,6902,203,0.4839864903422454
primary_sdi_spline_year_fe_cluster,age5_69,5-69 years,ambient_pm25,Ambient PM2.5 context,-0.11161425660043059,-10.561080430385006,-17.518046056757854,-3.017327410980253,0.006902189654885027,6902,203,0.4839864903422454
primary_sdi_spline_year_fe_cluster,age5_69,5-69 years,thermal_context,Thermal climate context,0.16969750817417473,18.49463605147328,7.194947150107822,30.98545357095206,0.0009041944538476576,6902,203,0.4839864903422454
primary_sdi_spline_year_fe_cluster,age5_69,5-69 years,wetness_context,Wetness/precipitation context,-0.11778488654662529,-11.111275634535911,-18.931539249448893,-2.5366308158782047,0.012183094739307683,6902,203,0.4839864903422454
primary_sdi_spline_year_fe_cluster,age70p,70+ years,household_energy,Household-energy context,-0.12978451922319253,-12.171533600656026,-22.414617177910333,-0.5761236269307468,0.040239155057132915,6902,203,0.7115151433168139
primary_sdi_spline_year_fe_cluster,age70p,70+ years,ambient_pm25,Ambient PM2.5 context,-0.06271181191049109,-6.078589499053888,-12.852905549815862,1.2223230865110235,0.10061429732532565,6902,203,0.7115151433168139
primary_sdi_spline_year_fe_cluster,age70p,70+ years,thermal_context,Thermal climate context,0.3666424941938906,44.288198820821044,33.0189415915565,56.51217841503482,9.863591430148359e-19,6902,203,0.7115151433168139
primary_sdi_spline_year_fe_cluster,age70p,70+ years,wetness_context,Wetness/precipitation context,-0.0709724232744474,-6.851242084926568,-13.229319945384788,-0.004343683146512678,0.04985986102548019,6902,203,0.7115151433168139
